,rank,title,fullTitle,year,crew,imDbRating,imDbRating
130,131,All About Eve,All About Eve (1950),1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.2,8.2
131,132,The Wolf of Wall Street,The Wolf of Wall Street (2013),2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.2,8.2
132,133,Green Book,Green Book (2018),2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.2,8.2
133,134,Judgment at Nuremberg,Judgment at Nuremberg (1961),1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.2,8.2
134,135,Casino,Casino (1995),1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.2,8.2
135,136,Ran,Ran (1985),1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.2,8.2
136,137,Pan's Labyrinth,Pan's Labyrinth (2006),2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.2,8.2
137,138,The Truman Show,The Truman Show (1998),1998,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.2,8.2
138,139,There Will Be Blood,There Will Be Blood (2007),2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.2,8.2
139,140,Unforgiven,Unforgiven (1992),1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.2,8.2
140,141,The Sixth Sense,The Sixth Sense (1999),1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.2,8.2
141,142,Shutter Island,Shutter Island (2010),2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.2,8.2
142,143,A Beautiful Mind,A Beautiful Mind (2001),2001,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.2,8.2
143,144,Jurassic Park,Jurassic Park (1993),1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.1,8.1
144,145,Yojimbo,Yojimbo (1961),1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.1,8.1
145,146,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre (1948),1948,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.1,8.1
146,147,Monty Python and the Holy Grail,Monty Python and the Holy Grail (1975),1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.1,8.1
147,148,The Great Escape,The Great Escape (1963),1963,"John Sturges (dir.), Steve McQueen, James Garner",8.1,8.1
148,149,No Country for Old Men,No Country for Old Men (2007),2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.1,8.1
149,150,Spider-Man: No Way Home,Spider-Man: No Way Home (2021),2021,"Jon Watts (dir.), Tom Holland, Zendaya",8.1,8.1
